,人口（千人単位）,人口 (M),ID,region,seq
Hokkaido,"5,286",5.286,HK,HKDO,1
Aomori,"1,263",1.263,AM,TOHK,2
Iwate,"1,241",1.241,IW,TOHK,3
Miyagi,"2,316",2.316,MG,TOHK,4
Akita,981,0.981,AK,TOHK,5
Yamagata,"1,090",1.09,YG,TOHK,6
Fukushima,"1,864",1.864,FS,TOHK,7
Ibaraki,"2,877",2.877,IB,KANT,8
Tochigi,"1,946",1.946,TC,KANT,9
Gumma,"1,952",1.952,GM,KANT,10
Saitama,"7,330",7.33,ST,KANT,11
Chiba,"6,255",6.255,CH,KANT,12
Tokyo,"13,822",13.822,TK,KANT,13
Kanagawa,"9,177",9.177,KN,KANT,14
Niigata,"2,246",2.246,NG,CHUB,15
Toyama,"1,050",1.05,TY,CHUB,16
Ishikawa,"1,143",1.143,IS,CHUB,17
Fukui,774,0.774,FK,CHUB,18
Yamanashi,817,0.817,YN,CHUB,19
Nagano,"2,063",2.063,NG,CHUB,20
Gifu,"1,997",1.997,GF,CHUB,21
Shizuoka,"3,659",3.659,SZ,CHUB,22
Aichi,"7,537",7.537,AC,CHUB,23
Mie,"1,791",1.791,ME,KINK,24
Shiga,"1,412",1.412,SG,KINK,25
Kyoto,"2,591",2.591,KT,KINK,26
Osaka,"8,813",8.813,OS,KINK,27
Hyogo,"5,484",5.484,HY,KINK,28
Nara,"1,339",1.339,NR,KINK,29
Wakayama,935,0.935,WK,KINK,30
Tottori,560,0.56,TT,CHGK,31
Shimane,680,0.68,SN,CHGK,32
Okayama,"1,898",1.898,OK,CHGK,33
Hiroshima,"2,817",2.817,HR,CHGK,34
Yamaguchi,"1,370",1.37,YG,CHGK,35
Tokushima,736,0.736,TS,SHKK,36
Kagawa,962,0.962,KG,SHKK,37
Ehime,"1,352",1.352,EH,SHKK,38
Kochi,706,0.706,KC,SHKK,39
Fukuoka,"5,107",5.107,FK,KYUS,40
Saga,819,0.819,SG,KYUS,41
Nagasaki,"1,341",1.341,NG,KYUS,42
Kumamoto,"1,757",1.757,KM,KYUS,43
Oita,"1,144",1.144,OT,KYUS,44
Miyazaki,"1,081",1.081,MY,KYUS,45
Kagoshima,"1,614",1.614,KG,KYUS,46
Okinawa,"1,448",1.448,ON,KYUS,47
